Fragment,Language,Metaphorical Device
El alma es un espejo que refleja el cielo de la sabiduría.,Castilian Spanish,Metaphor (soul as a mirror)
La luna es una diosa que extiende su manto sobre la tierra.,Castilian Spanish,Metaphor (moon as a goddess)
El viento susurra secretos olvidados por los dioses.,Castilian Spanish,Metaphor (wind as a whisperer)
Las estrellas son los ojos del universo que observan nuestro destino.,Castilian Spanish,Metaphor (stars as eyes)
El corazón es un jardín donde florecen los sentimientos.,Castilian Spanish,Metaphor (heart as a garden)
Los sueños son alas que nos elevan hacia la verdad.,Castilian Spanish,Metaphor (dreams as wings)
El amor es un fuego que consume todo lo que toca.,Castilian Spanish,Metaphor (love as fire)
Las palabras son semillas que germinan en la mente del oyente.,Castilian Spanish,Metaphor (words as seeds)
El tiempo es un río que nunca cesa de fluir.,Castilian Spanish,Metaphor (time as a river)
Sus ojos eran dos luceros que iluminaban la oscuridad de su alma.,Castilian Spanish,Metaphor (eyes as lights)
El silencio era un océano que rodeaba la sala.,Castilian Spanish,Metaphor (silence as an ocean)
El alma es una vela que se apaga con la tristeza.,Castilian Spanish,Metaphor (soul as a candle)
La montaña es un guardián que vigila el horizonte.,Castilian Spanish,Metaphor (mountain as a guardian)
El sol es un rey que se oculta tras su trono de nubes.,Castilian Spanish,Metaphor (sun as a king)
La pena es un peso que hunde el alma en las sombras.,Castilian Spanish,Metaphor (grief as a weight)
El amor es una flor que se marchita con el tiempo.,Castilian Spanish,Metaphor (love as a flower)
El viento es un mensajero que trae ecos del pasado.,Castilian Spanish,Metaphor (wind as a messenger)
Sus palabras fueron espinas que se clavaron en mi corazón.,Castilian Spanish,Metaphor (words as thorns)
"El sol, una espada de fuego, atravesó la neblina.",Castilian Spanish,Metaphor (sun as a sword)
El mar es una bestia dormida que rugirá al menor provocarlo.,Castilian Spanish,Metaphor (sea as a beast)
La tristeza es un velo que cubre la luz del alma.,Castilian Spanish,Metaphor (sadness as a veil)
Su corazón es una prisión donde se encierran los recuerdos.,Castilian Spanish,Metaphor (heart as a prison)
Las estrellas eran las joyas del manto nocturno.,Castilian Spanish,Metaphor (stars as jewels)
El destino es un río que nos arrastra hacia lo desconocido.,Castilian Spanish,Metaphor (fate as a river)
Las montañas son los huesos de la tierra.,Castilian Spanish,Metaphor (mountains as bones)
El amor es un laberinto sin salida.,Castilian Spanish,Metaphor (love as a labyrinth)
El alma es una flor que necesita el agua de la paz.,Castilian Spanish,Metaphor (soul as a flower)
La luna llena es un ojo que observa la vida desde el cielo.,Castilian Spanish,Metaphor (moon as an eye)
El fuego del sol consume las hojas secas del otoño.,Castilian Spanish,Metaphor (sun as fire)
Las palabras son cadenas que atan al corazón.,Castilian Spanish,Metaphor (words as chains)
El viento de la duda sopla en su mente.,Castilian Spanish,Metaphor (doubt as wind)
El amor es un eco que resuena en el vacío de su alma.,Castilian Spanish,Metaphor (love as an echo)
El sueño es un río de imágenes que fluye sin cesar.,Castilian Spanish,Metaphor (dream as a river)
El amor es una flecha que atraviesa el corazón.,Castilian Spanish,Metaphor (love as an arrow)
El tiempo es un ladrón que roba momentos preciosos.,Castilian Spanish,Metaphor (time as a thief)
Su risa es una melodía que alegra el alma.,Castilian Spanish,Metaphor (laughter as a melody)
Las sombras de la noche son los brazos de la oscuridad.,Castilian Spanish,Metaphor (shadows as arms)
El sol es una lámpara que ilumina la vida.,Castilian Spanish,Metaphor (sun as a lamp)
El amor es una tormenta que arrastra todo a su paso.,Castilian Spanish,Metaphor (love as a storm)
Sus ojos son dos pozos de tristeza.,Castilian Spanish,Metaphor (eyes as wells)
El destino es un telar en el que se tejen nuestras vidas.,Castilian Spanish,Metaphor (fate as a loom)
La paz es un manto que cubre el corazón herido.,Castilian Spanish,Metaphor (peace as a cloak)
El viento lleva consigo los susurros de antiguos recuerdos.,Castilian Spanish,Metaphor (wind as a carrier of whispers)
Los días son estrellas fugaces que desaparecen al amanecer.,Castilian Spanish,Metaphor (days as shooting stars)
La soledad es una sombra que nunca se aleja.,Castilian Spanish,Metaphor (solitude as a shadow)
El alma es un espejo que refleja la luz divina.,Castilian Spanish,Metaphor (soul as a mirror)
El mar es un espejo del cielo que refleja la eternidad.,Castilian Spanish,Metaphor (sea as a mirror)
El sol es una corona de fuego en el cielo.,Castilian Spanish,Metaphor (sun as a crown)
Las nubes son algodones que flotan en el cielo.,Castilian Spanish,Metaphor (clouds as cotton)
La verdad es una espada que corta las mentiras.,Castilian Spanish,Metaphor (truth as a sword)
El viento es el susurro de la tierra.,Castilian Spanish,Metaphor (wind as a whisper)
La luna es el guardián de la noche.,Castilian Spanish,Metaphor (moon as a guardian)
Las estrellas son ojos que miran la eternidad.,Castilian Spanish,Metaphor (stars as eyes)
El corazón es un jardín donde florece el amor.,Castilian Spanish,Metaphor (heart as a garden)
Las flores del campo son los pensamientos del viento.,Castilian Spanish,Metaphor (flowers as thoughts)
El sol es una mano cálida que acaricia la tierra.,Castilian Spanish,Metaphor (sun as a hand)
El río es un sendero de agua que conduce al mar.,Castilian Spanish,Metaphor (river as a path)
El amor es un laberinto de puertas cerradas.,Castilian Spanish,Metaphor (love as a labyrinth)
El alma es un océano profundo y misterioso.,Castilian Spanish,Metaphor (soul as an ocean)
Las sombras son los susurros del miedo.,Castilian Spanish,Metaphor (shadows as whispers)
La lluvia es una melodía que canta la tierra.,Castilian Spanish,Metaphor (rain as a melody)
El viento es un escultor que da forma a las nubes.,Castilian Spanish,Metaphor (wind as a sculptor)
El sol es un pintor que tiñe el cielo de rojo al atardecer.,Castilian Spanish,Metaphor (sun as a painter)
El amor es un fuego eterno que nunca se apaga.,Castilian Spanish,Metaphor (love as an eternal fire)
El alma es un espejo que refleja el amor y la tristeza.,Castilian Spanish,Metaphor (soul as a mirror of love and sadness)
